Text	Orginalna ocena	Oceniona przez nas	Czy zgadza sie z orginalną oceną
Dla mnie faworytem do tytułu będzie Cracovia. Zobaczymy, czy typ się sprawdzi.	0	0	TRUE
@anonymized_account @anonymized_account Brawo ty Daria kibic ma być na dobre i złe	0	0	TRUE
@anonymized_account @anonymized_account Super, polski premier składa kwiaty na grobach kolaborantów. Ale doczekaliśmy czasów.	0	0	TRUE
@anonymized_account @anonymized_account Musi. Innej drogi nie mamy.	0	0	TRUE
Odrzut natychmiastowy, kwaśna mina, mam problem	0	0	TRUE
Jaki on był fajny xdd pamiętam, że spóźniłam się na jego pierwsze zajęcia i to sporo i za karę kazał mi usiąść w pierwszej ławce XD	0	0	TRUE
@anonymized_account No nie ma u nas szczęścia 😉	0	0	TRUE
@anonymized_account Dawno kogoś tak wrednego nie widziałam xd	0	1	FALSE
@anonymized_account @anonymized_account Zaległości były, ale ważne czy były wezwania do zapłaty z których się klub nie wywiązał.	0	0	TRUE
@anonymized_account @anonymized_account @anonymized_account Gdzie jest @anonymized_account . Brudziński jesteś kłamcą i marnym kutasem @anonymized_account	1	1	TRUE
@anonymized_account @anonymized_account  no mam nadzieje !!:)	0	0	TRUE
@anonymized_account @anonymized_account Może gustował w starszych paniach ;-)	0	1	FALSE
"@anonymized_account Zostawiłam tam 3 lata temu \""Notatki na mankietach\"". Muszę się wrócić."	0	0	TRUE
"@anonymized_account Oprawa do Krzysia M. Ps Pinokio -\n\"" mogłeś być gangsterem a zostałeś 3 ligowym frajerem \""😀"	0	0	TRUE
@anonymized_account @anonymized_account Znowu będzie komunikat o polskich piratach drogowych w Słowacji.	0	0	TRUE
@anonymized_account Mówi człowiek, który chciał nałożyć sankcje na Polskę. Gratulacje. #Niepodlegla #11lisopada	0	0	TRUE
RT @anonymized_account @anonymized_account Mówi człowiek, który chciał nałożyć sankcje na Polskę. Gratulacje. #Niepodlegla #11lisopada	0	0	TRUE
"@anonymized_account @anonymized_account o jakim zachowaniu \""fer\"" mówisz skoro ukrywał się z tym że podpisał kontrakt z Legią ? Możesz rozwinąć ?"	0	0	TRUE
@anonymized_account @anonymized_account Joanno! Po raz pierwszy się z panią zgadzam.😁😁😁😁😁	0	0	TRUE
Monster block, monster block, monster block... 😁	0	0	TRUE
@anonymized_account Czyżby Madryt brał przykład z Warszawy?	0	0	TRUE
@anonymized_account @anonymized_account No to Skończmy kurwa z tym wersalem w j...ej szczujni	1	0	FALSE
@anonymized_account Nie wiem, najczęściej grają na zmianę na prawym skrzydle.	0	0	TRUE
@anonymized_account No to Pan i koledzy macie z głowy. Przesrane tak reszta życia pod górkę.	0	0	TRUE
